CrossName,Female,Male,Generation,Cross,Replicate,DateStarted,DateEclosed,Gender,WT,Ser/Sb,Tm6B,Tm6B+Ser/Sb,Notes
N2,Hand-Gal4/Tm3-ser,31039/Tm6B,2,N,1,6/7/2013,6/20/2013,Female,3,0,0,0,
N2,Hand-Gal4/Tm3-ser,31039/Tm6B,2,N,1,6/7/2013,6/20/2013,Male,4,3,0,0,
O2,Hand-Gal4/Tm3-ser,31528/Tm6B,2,O,1,6/10/2013,6/22/2013,Female,4,7,8,2,
O2,Hand-Gal4/Tm3-ser,31528/Tm6B,2,O,1,6/10/2013,6/22/2013,Male,3,6,3,0,
P1,Hand-Gal4/Tm3-ser,35144/Tm6B,1,P,1,6/10/2013,6/20/2013,Female,11,4,7,1,
P1,Hand-Gal4/Tm3-ser,35144/Tm6B,1,P,1,6/10/2013,6/20/2013,Male,11,5,2,0,
P1,Hand-Gal4/Tm3-ser,35144/Tm6B,1,P,1,6/10/2013,6/23/2013,Female,0,8,3,0,
P1,Hand-Gal4/Tm3-ser,35144/Tm6B,1,P,1,6/10/2013,6/23/2013,Male,2,7,5,6,
Q1,Hand-Gal4/Tm3-ser,31529/Tm6B,1,Q,1,6/11/2013,6/23/2013,Female,4,4,2,0,
Q1,Hand-Gal4/Tm3-ser,31529/Tm6B,1,Q,1,6/11/2013,6/23/2013,Male,7,2,5,0,
M3,Hand-Gal4/Tm3-ser,34814/Tm6B,3,M,1,6/10/2013,6/25/2013,Female,2,3,2,1,
M3,Hand-Gal4/Tm3-ser,34814/Tm6B,3,M,1,6/10/2013,6/25/2013,Male,1,3,2,1,
M4,Hand-Gal4/Tm3-ser,34814/Tm6B,4,M,1,6/14/2013,6/25/2013,Female,9,7,2,4,
M4,Hand-Gal4/Tm3-ser,34814/Tm6B,4,M,1,6/14/2013,6/25/2013,Male,3,4,0,1,
N3,Hand-Gal4/Tm3-ser,31039/Tm6B,3,N,1,6/12/2013,6/23/2013,Female,6,6,3,1,
