"","Gender","Gene","UAS","Driver","Age"
"487","male","Tsc1","31039","24B-Gal4",77
"488","male","Tsc1","31039","24B-Gal4",77
"489","male","Tsc1","31039","24B-Gal4",77
"490","male","Tsc1","31039","24B-Gal4",77
"491","male","Tsc1","31039","24B-Gal4",77
"492","male","Tsc1","31039","24B-Gal4",77
"493","male","Tsc1","31039","24B-Gal4",44
"494","male","Tsc1","31039","24B-Gal4",44
"495","male","Tsc1","31039","24B-Gal4",44
"496","male","Tsc1","31039","24B-Gal4",44
"497","male","Tsc1","31039","24B-Gal4",44
"498","male","Tsc1","31039","24B-Gal4",44
"499","male","Tsc1","31039","24B-Gal4",53
"500","male","Tsc1","31039","24B-Gal4",53
"501","male","Tsc1","31039","24B-Gal4",53
"502","male","Tsc1","31039","24B-Gal4",53
"503","male","Tsc1","31039","24B-Gal4",53
"504","male","Tsc1","31039","24B-Gal4",53
"505","female","Tsc1","31039","24B-Gal4",50
"506","female","Tsc1","31039","24B-Gal4",50
"507","female","Tsc1","31039","24B-Gal4",50
"508","female","Tsc1","31039","24B-Gal4",50
"509","female","Tsc1","31039","24B-Gal4",50
"510","female","Tsc1","31039","24B-Gal4",50
"511","male","Tsc1","31039","Hand-Gal4",83
"512","male","Tsc1","31039","Hand-Gal4",83
"513","male","Tsc1","31039","Hand-Gal4",83
"514","male","Tsc1","31039","Hand-Gal4",83
"515","male","Tsc1","31039","Hand-Gal4",83
"516","male","Tsc1","31039","Hand-Gal4",83
"517","male","Tsc1","31039","Hand-Gal4",83
"518","male","Tsc1","31039","Hand-Gal4",83
"519","female","Tsc1","31039","Hand-Gal4",92
"520","female","Tsc1","31039","Hand-Gal4",92
"521","female","Tsc1","31039","Hand-Gal4",80
"522","female","Tsc1","31039","Hand-Gal4",80
"523","female","Tsc1","31039","Hand-Gal4",95
"524","female","Tsc1","31039","Hand-Gal4",95
"525","female","Tsc1","31039","Hand-Gal4",62
"526","female","Tsc1","31039","Hand-Gal4",62
"527","male","Tsc1","31039","Hand-Gal4",71
"528","male","Tsc1","31039","Hand-Gal4",71
"529","male","Tsc1","31039","Hand-Gal4",77
"530","male","Tsc1","31039","Hand-Gal4",77
"531","male","Tsc1","31039","Hand-Gal4",85
"532","male","Tsc1","31039","Hand-Gal4",85
"533","male","Tsc1","31039","Hand-Gal4",86
"534","male","Tsc1","31039","Hand-Gal4",86
"535","male","Tsc1","31039","Hand-Gal4",86
"536","male","Tsc1","31039","Hand-Gal4",86
"537","male","Tsc1","31039","Hand-Gal4",84
"538","male","Tsc1","31039","Hand-Gal4",84
"539","male","Tsc1","31039","Hand-Gal4",84
"540","male","Tsc1","31039","Hand-Gal4",84
"541","female","Tsc1","31039","Hand-Gal4",82
"542","female","Tsc1","31039","Hand-Gal4",82
"543","female","Tsc1","31039","Hand-Gal4",82
"544","female","Tsc1","31039","Hand-Gal4",82
"545","male","Tsc1","31039","Hand-Gal4",65
"546","male","Tsc1","31039","Hand-Gal4",65
"547","male","Tsc1","31039","Hand-Gal4",65
"548","male","Tsc1","31039","Hand-Gal4",65
"549","male","Tsc1","31039","Hand-Gal4",86
"550","male","Tsc1","31039","Hand-Gal4",86
"551","male","Tsc1","31039","Hand-Gal4",86
"552","male","Tsc1","31039","Hand-Gal4",86
"553","female","Tsc1","31039","Hand-Gal4",94
"554","female","Tsc1","31039","Hand-Gal4",94
"555","female","Tsc1","31039","Hand-Gal4",94
"556","female","Tsc1","31039","Hand-Gal4",94
"557","male","Tsc1","31039","Hand-Gal4",66
"558","male","Tsc1","31039","Hand-Gal4",66
"559","male","Tsc1","31039","Hand-Gal4",66
"560","male","Tsc1","31039","Hand-Gal4",66
"561","female","Tsc1","31039","Hand-Gal4",86
"562","female","Tsc1","31039","Hand-Gal4",86
"563","female","Tsc1","31039","Hand-Gal4",86
"564","female","Tsc1","31039","Hand-Gal4",86
"565","male","Tsc1","31039","Hand-Gal4",86
"566","male","Tsc1","31039","Hand-Gal4",86
"567","male","Tsc1","31039","Hand-Gal4",86
"568","male","Tsc1","31039","Hand-Gal4",86
"569","female","Tsc1","31039","Hand-Gal4",94
"570","female","Tsc1","31039","Hand-Gal4",94
"571","female","Tsc1","31039","Hand-Gal4",94
"572","female","Tsc1","31039","Hand-Gal4",94
"573","male","Tsc1","31039","Hand-Gal4",84
"574","male","Tsc1","31039","Hand-Gal4",84
"575","male","Tsc1","31039","Hand-Gal4",84
"576","male","Tsc1","31039","Hand-Gal4",84
"577","male","Tsc1","31039","Hand-Gal4",75
"578","male","Tsc1","31039","Hand-Gal4",75
"579","male","Tsc1","31039","Hand-Gal4",75
"580","male","Tsc1","31039","Hand-Gal4",75
"581","female","Tsc1","31039","Hand-Gal4",86
"582","female","Tsc1","31039","Hand-Gal4",86
"583","female","Tsc1","31039","Hand-Gal4",86
"584","female","Tsc1","31039","Hand-Gal4",86
"585","female","Tsc1","31039","Hand-Gal4",98
"586","female","Tsc1","31039","Hand-Gal4",98
"587","female","Tsc1","31039","Hand-Gal4",98
"588","female","Tsc1","31039","Hand-Gal4",98
"589","male","Tsc1","31039","Hand-Gal4",59
"590","male","Tsc1","31039","Hand-Gal4",59
"591","male","Tsc1","31039","Hand-Gal4",59
"592","male","Tsc1","31039","Hand-Gal4",59
"593","male","Tsc1","31039","Hand-Gal4",65
"594","male","Tsc1","31039","Hand-Gal4",65
"595","male","Tsc1","31039","Hand-Gal4",65
"596","male","Tsc1","31039","Hand-Gal4",65
"597","male","Tsc1","31039","Hand-Gal4",86
"598","male","Tsc1","31039","Hand-Gal4",86
"599","male","Tsc1","31039","Hand-Gal4",86
"600","male","Tsc1","31039","Hand-Gal4",86
"601","female","Tsc1","31039","Hand-Gal4",79
"602","female","Tsc1","31039","Hand-Gal4",79
"603","female","Tsc1","31039","Hand-Gal4",79
"604","female","Tsc1","31039","Hand-Gal4",79
"605","female","Tsc1","31039","Hand-Gal4",76
"606","female","Tsc1","31039","Hand-Gal4",76
"607","female","Tsc1","31039","Hand-Gal4",76
"608","female","Tsc1","31039","Hand-Gal4",76
