CrossName,Gender,Phenotype,Birth.Date,Death.Date,Accidental,Notes
SUNSUN2,MALE,SB,7/30/2013,9/13/2013,FALSE,
STARSTAR1,MALE,SB,7/28/2013,9/13/2013,FALSE,
HEART2,MALE,SB,7/30/2013,9/13/2013,FALSE,
WAVE2,MALE,SB,7/30/2013,9/13/2013,FALSE,
SPIRALSPIRAL1,MALE,SB,7/26/2013,9/13/2013,FALSE,
CRESENT1,MALE,SB,7/29/2013,9/13/2013,FALSE,
SPIRALSPIRAL2,MALE,SB,7/31/2013,9/13/2013,FALSE,
SPIRAL1,MALE,SB,7/26/2013,9/13/2013,FALSE,
SPIRAL1,MALE,SB,7/26/2013,9/13/2013,FALSE,
SPIRAL1,MALE,SB,7/26/2013,9/13/2013,FALSE,
CRESENT2,MALE,SB,7/29/2013,9/13/2013,FALSE,
WAVE1,MALE,SB,7/28/2013,9/13/2013,FALSE,
WAVE1,MALE,SB,7/28/2013,9/13/2013,FALSE,
PLANETPLANET1,MALE,SB,7/27/2013,9/13/2013,FALSE,
CRESENTCRESENT1,MALE,WT,7/29/2013,9/13/2013,FALSE,
HEARTHEART2,MALE,WT,7/30/2013,9/13/2013,FALSE,
CRESENTCRESENT2,MALE,SB,7/30/2013,9/13/2013,FALSE,
HEART1,MALE,WT,7/28/2013,9/13/2013,FALSE,
STARSTAR1,FEmale,SB,7/25/2013,9/13/2013,FALSE,
HEART1,FEmale,SB,7/25/2013,9/13/2013,FALSE,
CRESENTCRESENT1,FEmale,WT,7/27/2013,9/13/2013,FALSE,
SPIRALSPIRALSPIRAL1,FEmale,SB,7/26/2013,9/13/2013,FALSE,
WAVEWAVE2,MALE,WT,7/30/2013,9/13/2013,FALSE,
WAVEWAVE2,MALE,WT,7/30/2013,9/13/2013,FALSE,
SUNSUN2,MALE,SB,7/31/2013,9/13/2013,FALSE,
WAVEWAVE2,MALE,SB,7/30/2013,9/13/2013,FALSE,
WAVEWAVE2,FEmale,SB,7/30/2013,9/13/2013,FALSE,
PLANETPLANET2,MALE,SB,7/30/2013,9/13/2013,FALSE,
PLANETPLANET2,MALE,SB,7/30/2013,9/13/2013,FALSE,
PLANETPLANET2,MALE,SB,7/30/2013,9/13/2013,FALSE,
SPIRAL1,MALE,SB,7/27/2013,9/13/2013,FALSE,
STAR1,MALE,WT,7/27/2013,9/17/2013,FALSE,
STAR1,MALE,WT,7/27/2013,9/17/2013,FALSE,
STAR1,MALE,WT,7/27/2013,9/17/2013,FALSE,
STAR1,MALE,SB,7/27/2013,9/17/2013,FALSE,
SUNSUN2,MALE,SB,7/30/2013,9/17/2013,FALSE,
SUNSUN2,MALE,SB,7/30/2013,9/17/2013,FALSE,
CRESENTCRESENT1,MALE,SB,7/27/2013,9/17/2013,FALSE,
CRESENTCRESENT1,MALE,SB,7/27/2013,9/17/2013,FALSE,
WAVE1,MALE,WT,7/30/2013,9/17/2013,FALSE,
WAVE1,MALE,WT,7/30/2013,9/17/2013,FALSE,
WAVE1,MALE,SB,7/30/2013,9/17/2013,FALSE,
STARSTAR2,MALE,WT,7/30/2013,9/17/2013,FALSE,
STARSTAR2,MALE,WT,7/30/2013,9/17/2013,FALSE,
WAVE2,MALE,SB,7/30/2013,9/17/2013,FALSE,
WAVE2,MALE,SB,7/30/2013,9/17/2013,FALSE,
WAVEWAVE1,MALE,SB,7/27/2013,9/17/2013,FALSE,
STARSTAR1,MALE,SB,7/28/2013,9/17/2013,FALSE,
STARSTAR1,MALE,SB,7/28/2013,9/17/2013,FALSE,
STARSTAR1,MALE,SB,7/28/2013,9/17/2013,FALSE,
STARSTAR1,MALE,SB,7/28/2013,9/17/2013,FALSE,
SUN2,MALE,WT,7/30/2013,9/17/2013,FALSE,
SUN2,MALE,WT,7/30/2013,9/17/2013,FALSE,
STARSTAR1,FEmale,SB,7/26/2013,9/17/2013,FALSE,
STARSTAR1,FEmale,SB,7/26/2013,9/17/2013,FALSE,
HEARTHEART1,MALE,WT,7/27/2013,9/17/2013,FALSE,
STARSTAR1,FEmale,SB,7/25/2013,9/17/2013,FALSE,
HEARTHEART1,MALE,SB,7/27/2013,9/17/2013,FALSE,
SUN2,MALE,WT,8/1/2013,9/17/2013,FALSE,
SPIRAL4,MALE,SB,7/27/2013,9/17/2013,FALSE,
SUN2,MALE,SB,8/1/2013,9/17/2013,FALSE,
SUN2,MALE,SB,8/1/2013,9/17/2013,FALSE,
STARSTAR1,MALE,SB,7/26/2013,9/17/2013,FALSE,
PLANET2,MALE,SB,7/30/2013,9/17/2013,FALSE,
PLANET2,MALE,SB,7/30/2013,9/17/2013,FALSE,
PLANET2,MALE,WT,7/30/2013,9/17/2013,FALSE,
HEARTHEART2,MALE,SB,7/30/2013,9/17/2013,FALSE,
HEART1,MALE,SB,7/27/2013,9/17/2013,FALSE,
STAR1,MALE,WT,7/25/2013,9/17/2013,FALSE,
STAR1,MALE,WT,7/25/2013,9/17/2013,FALSE,
SUN2,FEmale,SB,7/30/2013,9/17/2013,FALSE,
SUN2,MALE,WT,7/30/2013,9/17/2013,FALSE,
SUN2,MALE,WT,7/30/2013,9/17/2013,FALSE,
HEART2,MALE,SB,7/30/2013,9/17/2013,FALSE,
HEART2,MALE,SB,7/30/2013,9/17/2013,FALSE,
HEARTHEART1,MALE,WT,7/27/2013,9/17/2013,FALSE,
WAVE2,MALE,SB,7/30/2013,9/17/2013,FALSE,
HEART2,MALE,WT,7/30/2013,9/17/2013,FALSE,
SUN2,FEmale,SB,7/30/2013,9/17/2013,FALSE,
PLANETPLANET2,FEmale,SB,7/30/2013,9/17/2013,FALSE,
STAR1,MALE,WT,7/26/2013,9/17/2013,FALSE,
STAR1,MALE,WT,7/26/2013,9/17/2013,FALSE,
STAR1,MALE,WT,7/26/2013,9/17/2013,FALSE,
STAR1,MALE,WT,7/26/2013,9/17/2013,FALSE,
SPIRALSPIRAL1,MALE,SB,7/26/2013,9/17/2013,FALSE,
CRESENTCRESENT2,MALE,SB,7/30/2013,9/17/2013,FALSE,
SPIRALSPIRAL2,MALE,SB,7/31/2013,9/17/2013,FALSE,
SUN2,MALE,SB,7/30/2013,9/17/2013,FALSE,
WAVE1,MALE,SB,7/28/2013,9/17/2013,FALSE,
HEARTHEART2,MALE,WT,7/30/2013,9/17/2013,FALSE,
HEARTHEART2,MALE,WT,7/30/2013,9/17/2013,FALSE,
CRESENTCRESENT1,FEmale,SB,7/27/2013,9/17/2013,FALSE,
SUN1,MALE,WT,7/25/2013,9/17/2013,FALSE,
SUN1,MALE,WT,7/25/2013,9/17/2013,FALSE,
SUN1,MALE,WT,7/25/2013,9/17/2013,FALSE,
STARSTAR1,FEmale,SB,7/25/2013,9/17/2013,FALSE,
STARSTAR1,FEmale,SB,7/25/2013,9/17/2013,FALSE,
WAVE2,FEmale,WT,7/30/2013,9/17/2013,FALSE,
HEART1,MALE,WT,7/28/2013,9/17/2013,FALSE,
WAVE1,MALE,WT,7/26/2013,9/17/2013,FALSE,
CRESENTCRESENT1,MALE,WT,7/27/2013,9/17/2013,FALSE,
CRESENTCRESENT1,MALE,WT,7/27/2013,9/17/2013,FALSE,
CRESENTCRESENT1,MALE,WT,7/27/2013,9/17/2013,FALSE,
CRESENTCRESENT1,MALE,WT,7/27/2013,9/17/2013,FALSE,
SPIRAL1,MALE,SB,7/26/2013,9/17/2013,FALSE,
WAVEWAVE2,MALE,WT,7/30/2013,9/17/2013,FALSE,
WAVEWAVE2,MALE,WT,7/30/2013,9/17/2013,FALSE,
