CrossName,Female,Male,Generation,Cross,Replicate,DateStarted,DateEclosed,Gender,WT,Cyo/Sb,Cyo,Sb,Cyo+Sb,Notes
4DD1,Mef-GAL4,31039/III,1,4D,2,,6/30/2014,Male,18,0,,,,
4DD1,Mef-GAL4,31039/III,1,4D,2,,6/30/2014,Female,34,0,,,,
3EE1,Mhc-GAL4/TM6C,31529/III,1,3E,2,,6/30/2014,Male,6,8,,,,
3EE1,Mhc-GAL4/TM6C,31529/III,1,3E,2,,6/30/2014,Female,9,7,,,,
2B1,C179-GAL4,32371/III,1,2B,1,,6/30/2014,Male,50,0,,,,
2B1,C179-GAL4,32371/III,1,2B,1,,6/30/2014,Female,42,0,,,,
4EE1,Mef-GAL4,31314/III,1,4E,2,,6/30/2014,Male,17,0,,,,
4EE1,Mef-GAL4,31314/III,1,4E,2,,6/30/2014,Female,30,0,,,,
3CC1,Mhc-GAL4/TM6C,34814/III,1,3C,2,,6/30/2014,Male,12,8,,,,
3CC1,Mhc-GAL4/TM6C,34814/III,1,3C,2,,6/30/2014,Female,12,13,,,,
2A1,C179-GAL4,36304/III,1,2A,1,,6/30/2014,Male,17,0,,,,
2A1,C179-GAL4,36304/III,1,2A,1,,6/30/2014,Female,17,0,,,,
4DDD1,Mef-GAL4,31039/III,1,4D,3,,6/30/2014,Male,16,0,,,,
4DDD1,Mef-GAL4,31039/III,1,4D,3,,6/30/2014,Female,20,0,,,,
4EEE1,Mef-GAL4,31314/III,1,4E,3,,6/30/2014,Male,24,0,,,,
4EEE1,Mef-GAL4,31314/III,1,4E,3,,6/30/2014,Female,30,0,,,,
5B1,"24B-GAL4/Tm3,sb",35137/III,1,5B,1,,6/30/2014,Male,0,13,,,,
5B1,"24B-GAL4/Tm3,sb",35137/III,1,5B,1,,6/30/2014,Female,5,13,,,,
2C1,C179-GAL4,35137/III,1,2C,1,,6/30/2014,Male,11,0,,,,
2C1,C179-GAL4,35137/III,1,2C,1,,6/30/2014,Female,8,0,,,,
3C5,Mhc-GAL4/TM6C,34814/III,5,3C,1,,7/1/2014,Male,1,4,,,,eye color did not correspond to wing type
3C5,Mhc-GAL4/TM6C,34814/III,5,3C,1,,7/1/2014,Female,1,5,,,,eye color did not correspond to wing type
3D5,Mhc-GAL4/TM6C,41912/II,5,3D,1,,7/1/2014,Male,4,6,,,,
3D5,Mhc-GAL4/TM6C,41912/II,5,3D,1,,7/1/2014,Female,4,8,,,,
4AA3,Mef-GAL4,32371/III,3,4A,2,,7/1/2014,Male,3,0,,,,
4AA3,Mef-GAL4,32371/III,3,4A,2,,7/1/2014,Female,7,0,,,,
5AA3,"24B-GAL4/Tm3,sb",36304/III,3,5A,2,,7/1/2014,Male,4,3,,,,
5AA3,"24B-GAL4/Tm3,sb",36304/III,3,5A,2,,7/1/2014,Female,5,5,,,,
5AAA2,"24B-GAL4/Tm3,sb",36304/III,2,5A,3,,7/1/2014,Male,5,8,,,,
5AAA2,"24B-GAL4/Tm3,sb",36304/III,2,5A,3,,7/1/2014,Female,8,6,,,,
5AAA3,"24B-GAL4/Tm3,sb",36304/III,3,5A,3,,7/1/2014,Male,2,8,,,,
5AAA3,"24B-GAL4/Tm3,sb",36304/III,3,5A,3,,7/1/2014,Female,10,6,,,,
3E3,Mhc-GAL4/TM6C,31529/III,3,3E,1,,7/1/2014,Male,4,7,,,,
3E3,Mhc-GAL4/TM6C,31529/III,3,3E,1,,7/1/2014,Female,2,8,,,,
3AA2,Mhc-GAL4/TM6C,36304/III,2,3A,2,,7/1/2014,Male,1,1,,,,
3AA2,Mhc-GAL4/TM6C,36304/III,2,3A,2,,7/1/2014,Female,6,5,,,,
4BB1,Mef-GAL4,36304/III,1,4B,2,,7/1/2014,Male,16,0,,,,
4BB1,Mef-GAL4,36304/III,1,4B,2,,7/1/2014,Female,18,0,,,,
4AAA1,Mef-GAL4,32371/III,1,4A,3,,7/1/2014,Male,13,0,,,,
4AAA1,Mef-GAL4,32371/III,1,4A,3,,7/1/2014,Female,8,0,,,,
4AAA2,Mef-GAL4,32371/III,2,4A,3,,7/1/2014,Male,9,0,,,,
4AAA2,Mef-GAL4,32371/III,2,4A,3,,7/1/2014,Female,12,0,,,,
4BBB2,Mef-GAL4,36304/III,2,4B,3,,7/1/2014,Male,19,0,,,,
4BBB2,Mef-GAL4,36304/III,2,4B,3,,7/1/2014,Female,28,0,,,,
4D2,Mef-GAL4,31039/III,2,4D,1,,7/1/2014,Male,13,0,,,,
4D2,Mef-GAL4,31039/III,2,4D,1,,7/1/2014,Female,14,0,,,,
4E1,Mef-GAL4,31314/III,1,4E,1,,7/1/2014,Male,10,0,,,,
4E1,Mef-GAL4,31314/III,1,4E,1,,7/1/2014,Female,10,0,,,,
3EE1,Mhc-GAL4/TM6C,31529/III,1,3E,2,,7/1/2014,Male,6,9,,,,
3EE1,Mhc-GAL4/TM6C,31529/III,1,3E,2,,7/1/2014,Female,6,7,,,,
2A1,C179-GAL4,36304/III,1,2A,1,,7/1/2014,Male,15,0,,,,
2A1,C179-GAL4,36304/III,1,2A,1,,7/1/2014,Female,5,0,,,,
4EEE1,Mef-GAL4,31314/III,1,4E,3,,7/1/2014,Male,9,0,,,,
4EEE1,Mef-GAL4,31314/III,1,4E,3,,7/1/2014,Female,10,0,,,,
3BBB1,Mhc-GAL4/TM6C,31528/III,1,3B,3,,7/1/2014,Male,14,7,,,,
3BBB1,Mhc-GAL4/TM6C,31528/III,1,3B,3,,7/1/2014,Female,9,7,,,,
2C1,C179-GAL4,35137/III,1,2C,1,,7/1/2014,Male,11,0,,,,
2C1,C179-GAL4,35137/III,1,2C,1,,7/1/2014,Female,14,0,,,,
3E4,Mhc-GAL4/TM6C,31529/III,4,3E,1,,7/2/2014,Male,7,7,,,,
3E4,Mhc-GAL4/TM6C,31529/III,4,3E,1,,7/2/2014,Female,11,9,,,,
3AA3,Mhc-GAL4/TM6C,36304/III,3,3A,2,,7/2/2014,Male,7,8,,,,
3AA3,Mhc-GAL4/TM6C,36304/III,3,3A,2,,7/2/2014,Female,8,6,,,,
1A1,Hand-GAL4,36304/III,1,1A,1,,7/2/2014,Male,8,0,,,,
1A1,Hand-GAL4,36304/III,1,1A,1,,7/2/2014,Female,13,0,,,,
1A2,Hand-GAL4,36304/III,2,1A,1,,7/2/2014,Male,15,0,,,,
1A2,Hand-GAL4,36304/III,2,1A,1,,7/2/2014,Female,9,0,,,,
4BBB2,Mef-GAL4,36304/III,2,4B,3,,7/2/2014,Male,25,0,,,,
4BBB2,Mef-GAL4,36304/III,2,4B,3,,7/2/2014,Female,14,0,,,,
3BB2,Mhc-GAL4/TM6C,31528/III,2,3B,2,,7/2/2014,Male,17,15,,,,
3BB2,Mhc-GAL4/TM6C,31528/III,2,3B,2,,7/2/2014,Female,22,5,,,,
1AA1,Hand-GAL4,36304/III,1,1A,2,,7/2/2014,Male,13,0,,,,
1AA1,Hand-GAL4,36304/III,1,1A,2,,7/2/2014,Female,13,0,,,,
2B1,C179-GAL4,32371/III,1,2B,1,,7/2/2014,Male,14,0,,,,
2B1,C179-GAL4,32371/III,1,2B,1,,7/2/2014,Female,11,0,,,,
4EE1,Mef-GAL4,31314/III,1,4E,2,,7/2/2014,Male,12,0,,,,
4EE1,Mef-GAL4,31314/III,1,4E,2,,7/2/2014,Female,10,0,,,,
4DDD1,Mef-GAL4,31039/III,1,4D,3,,7/2/2014,Male,15,0,,,,
4DDD1,Mef-GAL4,31039/III,1,4D,3,,7/2/2014,Female,16,0,,,,
3A5,Mhc-GAL4/TM6C,36304/III,5,3A,1,,7/3/2014,Male,0,1,,,,
3A5,Mhc-GAL4/TM6C,36304/III,5,3A,1,,7/3/2014,Female,0,0,,,,
3B5,Mhc-GAL4/TM6C,31528/III,5,3B,1,,7/3/2014,Male,2,0,,,,
3B5,Mhc-GAL4/TM6C,31528/III,5,3B,1,,7/3/2014,Female,0,0,,,,
4CCC2,Mef-GAL4,35137/III,2,4C,3,,7/3/2014,Male,0,0,,,,
4CCC2,Mef-GAL4,35137/III,2,4C,3,,7/3/2014,Female,3,0,,,,
4BBB1,Mef-GAL4,36304/III,1,4B,3,,7/3/2014,Male,12,0,,,,
4BBB1,Mef-GAL4,36304/III,1,4B,3,,7/3/2014,Female,8,0,,,,
3BB1,Mhc-GAL4/TM6C,31528/III,1,3B,2,,7/3/2014,Male,0,2,,,,
3BB1,Mhc-GAL4/TM6C,31528/III,1,3B,2,,7/3/2014,Female,3,2,,,,
4D1,Mef-GAL4,31039/III,1,4D,1,,7/3/2014,Male,3,0,,,,
4D1,Mef-GAL4,31039/III,1,4D,1,,7/3/2014,Female,5,0,,,,
1AA1,Hand-GAL4,36304/III,1,1A,2,,7/3/2014,Male,6,0,,,,
1AA1,Hand-GAL4,36304/III,1,1A,2,,7/3/2014,Female,5,0,,,,
4E1,Mef-GAL4,31314/III,1,4E,1,,7/3/2014,Male,4,0,,,,
